brand,model,launch,weight,display type,display size,ppi,cpu,gpu,main camera,wide,telephoto,selfie,battery
Samsung,galaxy note10 5g,2019-08,168,Dynamic AMOLED,6.3,401,Octa-core (2x2.73 GHz Mongoose M4 & 2x2.4 GHz Cortex-A75 & 4x1.9 GHz Cortex-A55),Mali-G76 MP12,12+12+16,1,1,10,3500
Huawei,mate 30,2019-09,196,OLED,6.62,389,Octa-core (2x2.86 GHz Cortex-A76 & 2x2.09 GHz Cortex-A76 & 4x1.86 GHz Cortex-A55),Mali-G76 MP16,40+8+16,1,1,24,4200
Xiaomi,black shark 2,2019-03,205,AMOLED,6.39,403,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,48+12,1,1,20,4000
Xiaomi,mi cc9 pro,2019-11,208,AMOLED,6.47,398,Octa-core (2x2.2 GHz Kryo 470 Gold & 6x1.8 GHz Kryo 470 Silver),Adreno 618,108+12+5+20+2,1,1,32,5260
Samsung,galaxy fold 5g,2019-02,263,Foldable Dynamic AMOLED,7.3,362,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,12+12+16,1,1,10+8+10,4235
Lg,g8s thinq,2019-02,181,G-OLED,6.21,401,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,12+12+13,1,1,8,3550
Huawei,mate 30 pro 5g,2019-09,198,OLED,6.53,409,Octa-core (2x2.86 GHz Cortex-A76 & 2x2.36 GHz Cortex-A76 & 4x1.95 GHz Cortex-A55),Mali-G76 MP16,40+8+40,1,1,32,4500
Xiaomi,mi 9 pro,2019-09,196,Super AMOLED,6.39,403,Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485),Adreno 640 (700 MHz),48+12+16,1,1,20,4000
Xiaomi,black shark 2 pro,2019-07,205,AMOLED,6.39,403,Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640 (700 MHz),48+12,1,1,20,4000
Xiaomi,mi mix 3 5g,2019-02,225,Super AMOLED,6.39,403,Octa-core (1x2.84 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.78 GHz Kryo 485),Adreno 640,12+12,1,1,24+2,3800
Samsung,galaxy xcover fieldpro,2019-10,256,IPS LCD,5.1,576,Octa-core (4x2.7 GHz Mongoose M3 & 4x1.8 GHz Cortex-A55),Mali-G72 MP18,12,1,0,8,4500
Huawei,mate 20 x ,2019-05,233,OLED,7.2,346,Octa-core (2x2.6 GHz Cortex-A76 & 2x1.92 GHz Cortex-A76 & 4x1.8 GHz Cortex-A55),Mali-G76 MP10,40+8+20,1,1,24,4200
Xiaomi,redmi k20 pro premium,2019-09,191,Super AMOLED,6.39,403,Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485),Adreno 640 (700 MHz),48+8+13,1,1,20,4000
Xiaomi,mi 9 pro 5g,2019-09,196,Super AMOLED,6.39,403,Octa-core (1x2.96 GHz Kryo 485 & 3x2.42 GHz Kryo 485 & 4x1.8 GHz Kryo 485),Adreno 640 (700 MHz),48+12+16,1,1,20,4000
